playerID,award,year,lgID,note,pos
malonjo01,Art Ross,1917,NHL,,
cleghod01,Art Ross,1918,NHL,,
malonjo01,Art Ross,1919,NHL,,
lalonne01,Art Ross,1920,NHL,,
broadpu01,Art Ross,1921,NHL,,
dyeba01,Art Ross,1922,NHL,,
dennecy01,Art Ross,1923,NHL,,
nighbfr01,Hart,1923,NHL,,
dyeba01,Art Ross,1924,NHL,,
burchbi01,Hart,1924,NHL,,
nighbfr01,Lady Byng,1924,NHL,,
stewane01,Art Ross,1925,NHL,,
stewane01,Hart,1925,NHL,,
nighbfr01,Lady Byng,1925,NHL,,
cookbi01,Art Ross,1926,NHL,,
gardihe01,Hart,1926,NHL,,
burchbi01,Lady Byng,1926,NHL,,
hainsge01,Vezina,1926,NHL,,
morenho01,Art Ross,1927,NHL,,
morenho01,Hart,1927,NHL,,
bouchfr01,Lady Byng,1927,NHL,,
hainsge01,Vezina,1927,NHL,,
baileac01,Art Ross,1928,NHL,,
wortero01,Hart,1928,NHL,,
bouchfr01,Lady Byng,1928,NHL,,
hainsge01,Vezina,1928,NHL,,
weilaco01,Art Ross,1929,NHL,,
stewane01,Hart,1929,NHL,,
bouchfr01,Lady Byng,1929,NHL,,
thompti01,Vezina,1929,NHL,,
morenho01,Art Ross,1930,NHL,,
clancki01,First Team All-Star,1930,NHL,,D
cookbi01,First Team All-Star,1930,NHL,,RW
gardich01,First Team All-Star,1930,NHL,,G
joliaau01,First Team All-Star,1930,NHL,,LW
morenho01,First Team All-Star,1930,NHL,,C
shoreed01,First Team All-Star,1930,NHL,,D
morenho01,Hart,1930,NHL,,
bouchfr01,Lady Byng,1930,NHL,,
