year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,name,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1909,NHA,COB,BKN,,,4,,12,4,8,0,,8,,,79,104,Cobalt Silver Kings,,,,,,,,
1909,NHA,HAI,MTL,,,5,,12,4,8,0,,8,,,77,83,Haileybury Hockey Club,,,,,,,,
1909,NHA,LES,TBS,,,7,,12,2,10,0,,4,,,59,100,Les Canadiens,,,,,,,,
1909,NHA,MOS,MOS,,,6,,12,3,8,1,,7,,,52,95,Montreal Shamrocks,,,,,,,,
1909,NHA,MOW,MTW,,,1,,12,11,1,0,,22,,,91,41,Montreal Wanderers,,,,,,,,
1909,NHA,OT1,STE,,,2,,12,9,3,0,,18,,,89,66,Ottawa Senators,,,,,,,,
1909,NHA,REN,REN,,,3,,12,8,3,1,,17,,,96,54,Renfrew Creamery Kings,,,,,,,,
1910,NHA,MOC,MTL,,,2,,16,8,8,0,,16,,,66,62,Montreal Canadiens,,,,,,,,
1910,NHA,MOW,MTW,,,4,,16,7,9,0,,14,,,73,88,Montreal Wanderers,,,,,,,,
1910,NHA,OT1,STE,,,1,,16,13,3,0,,26,,,122,69,Ottawa Senators,,,,,,,,
1910,NHA,QU1,BKN,,,5,,16,4,12,0,,8,,,65,97,Quebec Bulldogs,,,,,,,,
1910,NHA,REN,REN,,,3,,16,8,8,0,,16,,,91,101,Renfrew Creamery Kings,,,,,,,,
1911,NHA,MOC,MTL,,,4,,18,8,10,0,,16,,,59,66,Montreal Canadiens,,,,,,,,
1911,NHA,MOW,MTW,,,3,,18,9,9,0,,18,,,95,96,Montreal Wanderers,,,,,,,,
1911,NHA,OT1,STE,,,2,,18,9,9,0,,18,,,99,93,Ottawa Senators,,,,,,,,
1911,NHA,QU1,BKN,,,1,,18,10,8,0,,20,,,81,79,Quebec Bulldogs,,,,,,,,
1911,PCHA,NWR,PO1,,,1,,15,9,6,0,,18,,,78,77,New Westminster Royals,,,,,,,,
1911,PCHA,VA1,SPO,,,3,,16,7,9,0,,14,,,81,90,Victoria Aristocrats,,,,,,,,
1911,PCHA,VML,VMR,,,2,,15,7,8,0,,14,,,102,94,Vancouver Millionaires,,,,,,,,
1912,NHA,MOC,MTL,,,5,,20,9,11,0,,18,,,83,81,Montreal Canadiens,,,,,,,,
1912,NHA,MOW,MTW,,,2,,20,10,10,0,,20,,,93,90,Montreal Wanderers,,,,,,,,
1912,NHA,OT1,STE,,,3,,20,9,11,0,,18,,,87,81,Ottawa Senators,,,,,,,,
1912,NHA,QU1,BKN,,,1,LCS,20,16,4,0,,32,,,112,75,Quebec Bulldogs,,,,,,,,
1912,NHA,TBS,TBS,,,4,,20,9,11,0,,18,,,86,95,Toronto Blueshirts,,,,,,,,
1912,NHA,TO1,TOO,,,6,,20,7,13,0,,14,,,59,98,Toronto Tecumsehs,,,,,,,,
1912,PCHA,NWR,PO1,,,3,,13,4,9,0,,8,,,46,61,New Westminster Royals,,,,,,,,
1912,PCHA,VA1,SPO,,,1,WCS,15,10,5,0,,20,,,68,56,Victoria Aristocrats,,,,,,,,
1912,PCHA,VML,VMR,,,2,,14,7,7,0,,14,,,71,68,Vancouver Millionaires,,,,,,,,
1913,NHA,MOC,MTL,,,2,NHAF,20,13,7,0,,26,,,85,65,Montreal Canadiens,,,,,,,,
1913,NHA,MOW,MTW,,,5,,20,7,13,0,,14,,,102,125,Montreal Wanderers,,,,,,,,
1913,NHA,OT1,STE,,,4,,20,11,9,0,,22,,,65,71,Ottawa Senators,,,,,,,,
1913,NHA,QU1,BKN,,,3,,20,12,8,0,,24,,,111,73,Quebec Bulldogs,,,,,,,,
1913,NHA,TBS,TBS,,,1,SC,20,13,7,0,,26,,,93,65,Toronto Blueshirts,,,,,,,,
1913,NHA,TOO,TOO,,,6,,20,4,16,0,,8,,,61,118,Toronto Ontarios,,,,,,,,
1913,PCHA,NWR,PO1,,,3,,16,7,9,0,,14,,,75,81,New Westminster Royals,,,,,,,,
1913,PCHA,VA1,SPO,,,1,F,16,10,6,0,,20,,,86,80,Victoria Aristocrats,,,,,,,,
1913,PCHA,VML,VMR,,,2,,16,7,9,0,,14,,,89,89,Vancouver Millionaires,,,,,,,,
1914,NHA,MOC,MTL,,,6,,20,6,14,0,,12,,,65,81,Montreal Canadiens,,,,,,,,
1914,NHA,MOW,MTW,,,2,NHAF,20,14,6,0,,28,,,127,82,Montreal Wanderers,,,,,,,,
